title,genres,keywords,cast,director,popularity
3:10 to Yuma,western,"saloon, hero, liberation prisoners, transport prisoners, wilderness, dying death, race time, railway car, stetson, rivalry, gang, gunfight, crime, family, psychological, dishonesty, heroic mission, righting wronged, chases races, parents children, mind soul","russell crowe, christian bale, logan lerman, dallas roberts, peter fonda, gretchen mol, ben foster, alan tudyk, vinessa shaw, lennie loftin, rio alexander, pat ricotti, shawn howell, johnny whitworth, kevin durand, ramon frank, deryle j. lujan, james 'scotty' augare, brian duffy, jason rodriguez, chris browning, chad brummett, forrest fyre, luke wilson, benjamin petry, arron shiver, sean hennigan, girard swan, christopher berry, david oliver, jason henning, barbara bartleson, james blackburn, brian brown, trevor coppola, harp corrigan, hugh elliot, darren gibson, kc king, melinda kramer, brent lambert, billy lockwood, j. nathan simmons, art usher",james mangold,48.801089
Taken 3,"thriller, action","revenge, murder, run, fugitive, framed, father daughter relationship, framed murder","liam neeson, forest whitaker, maggie grace, famke janssen, dougray scott, sam spruell, don harvey, dylan bruno, leland orser, david warshofsky, jon gries, jonny weston, andrew borba, judi beecher, andrew howard, chad donella, al sapienza, alexander wraith, cedric cirotteau, catherine dyer, jimmy palumbo, robert pralgo, tony williams, al vicente, shelley calene-black, adam j. smith, jimmy gonzales, lauren sivan, cornelius peter, kevin fry, katie mary garland, alex disdier, mike davies, ellen ho, haley craft, stephanie honoré, steve coulter, michael shikany, robert bryan davis, nazareth dairian, tony demil, stefanie kleine, johnny harvill, angie dillard, wallace langham, anton yakovlev, cedric camus, karim ben haddou, vincent parisi, scott thrun, cédric chevalme, pete thias, martin vaughan lewis, ashante p.t. stokes, abbey ferrell, lauren sivan",olivier megaton,88.844777
Out of Sight,"romance, comedy, crime","journalist, bedroom, purse, trunk, elmore leonard","george clooney, jennifer lopez, ving rhames, don cheadle, albert brooks, steve zahn, isaiah washington, dennis farina, luis guzmán, keith loneker, catherine keener, nancy allen, michael keaton, viola davis, samuel l. jackson, paul calderon",steven soderbergh,16.000178
The Cable Guy,"comedy, drama, thriller","prison, prostitute, karaoke, dark comedy, cable guy","jim carrey, matthew broderick, leslie mann, jack black, george segal, diane baker, ben stiller, eric roberts, janeane garofalo, andy dick, harry o'reilly, david cross, amy stiller, owen wilson, keith gibbs, kathy griffin, misa koprova",ben stiller,19.525659
Earth,drama,"based novel, war independence, period drama, woman director, partition, 1940s, lahore","aamir khan, nandita das, maia sethna, kitu gidwani, arif zakaria, eric peterson, kulbhushan kharbanda, pavan malhotra, sunil mehra, navtej singh johar",deepa mehta,1.246883
Dick Tracy,"adventure, action, comedy, thriller, crime","corruption, crime fighter, gangster boss, investigation, based comic strip, policeman","warren beatty, al pacino, madonna, charlie korsmo, glenne headly, dustin hoffman, james caan, william forsythe, seymour cassel, dick van dyke, kathy bates, paul sorvino, charles durning, mandy patinkin, june foray, david l. lander, charles fleischer, fred newman, tara strong, henry silva, r. g. armstrong, catherine o'hara, mary woronov, e.g. daily, tom signorelli",warren beatty,7.859226
The Thomas Crown Affair,"drama, crime, romance","martinique, claude monet, famous painting, glider, insurance agent, missing painting, stolen painting, valuable painting, rich people","pierce brosnan, rene russo, denis leary, ben gazzara, frankie faison, fritz weaver, charles keating, mark margolis, faye dunaway, michael lombard, ritchie coster, george christy, tony cucci",john mctiernan,18.102572
Riding in Cars with Boys,"comedy, drama, romance","baby, adult, puberty, dream, drug addiction, wife, unwillingly pregnant, writer, youth, marriage problems, woman director","drew barrymore, steve zahn, adam garcia, brittany murphy, logan lerman, susan forristal, lorraine bracco, james woods, marisa ryan, maggie gyllenhaal, rosie perez, desmond harrington, sara gilbert, peter facinelli, paz de la huerta, mika boorem, skye mccole bartusiak",penny marshall,7.226115
First Blood,"action, adventure, thriller, war","prison, vietnam veteran, falsely accused, police brutality, sheriff, guerrilla, submachine gun, gun, destroy, self-defense, vietnam, vietnam war, prosecution, dying death, village town, police operation, attempt escape, matter life death, survivor, tramp, national guard, weapon, firearm, police, escape","sylvester stallone, richard crenna, brian dennehy, bill mckinney, jack starrett, michael talbott, chris mulkey, john mcliam, alf humphreys, david caruso, david l. crowley, don mackay, charles a. tamburro, david petersen, craig huston, patrick stack, stephen e. miller, raimund stamm, robert metcalfe, stephen dimopoulos, bruce greenwood, donald adams, gary hetherington",ted kotcheff,63.071046
Solaris,"drama, science fiction, adventure, mystery","1970s, loss sense reality, extraterrestrial technology, subconsciousness, russian, hallucination, space travel, astronaut, soviet","donatas banionis, natalya bondarchuk, jüri järvet, anatoliy solonitsyn, nikolay grinko, vladislav dvorzhetsky, georgiy teykh, sos sargsyan, olga barnet, tamara ogorodnikova",andrei tarkovsky,24.132271
Happily N'Ever After,"animation, comedy, family, fantasy, science fiction","dwarves, cinderella, wolf, bad mother-in-law, prince, fairy tale, little red riding hood, step mother, wizardry, princess, sleeping beauty, rumpelstilzchen, good bad, intern, woman director","george carlin, andy dick, sarah michelle gellar, lisa kaplan, michael mcshane, rob paulsen, freddie prinze jr., wallace shawn, patrick warburton, sigourney weaver, john dimaggio, tom kenny, tress macneille, jon polito, phil proctor, kath soucie, jill talley","yvette kaplan, paul bolger, greg tiernan",10.410933
Mary Reilly,"drama, horror, thriller, romance","servant, monster, laboratory, jekyll hyde, housemaid, 19th century","julia roberts, john malkovich, george cole, michael gambon, glenn close, kathy staff, michael sheen, bronagh gallagher, linda bassett, ciarán hinds, henry goodman",stephen frears,6.067212
My Best Friend's Wedding,"comedy, romance","karaoke, marriage proposal, new love, love one's life, kiss, man-woman relation, secret love, wedding","julia roberts, dermot mulroney, cameron diaz, rupert everett, philip bosco, m. emmet walsh, rachel griffiths, carrie preston, susan sullivan, christopher masterson, raci alexander, jennifer garrett, kelleia sheerin, bree turner, cassie creasy, lucina paquet, aida baggio, shirley kelly, george bozonelos, loretta paoletti, paul giamatti, paul adelstein, harry shearer",p.j. hogan,15.401855
America's Sweethearts,"comedy, romance","film business, film producer, wife husband relationship, fictitious marriage, married couple, marriage crisis","julia roberts, billy crystal, catherine zeta-jones, john cusack, hank azaria, stanley tucci, christopher walken, alan arkin, seth green, rainn wilson, eric balfour, scot zeller, larry king, steve pink, marty belafsky, keri lynn pratt, maria canals-barrera, wendy schenker, jim ferguson, lisa joyner, byron allen, patrick stoner, sam rubin, shaun robinson, charley steiner, jeff michael, sibila vargas, jane yamamoto, maree cheatham, alexander enberg, sarah loew, joseph feingold, sherry jennings, austin l. sorrels, shawn driscoll, ann cusack, raquel baldwin, emma roberts",joe roth,10.698929
Insomnia,"crime, mystery, thriller","detective, confession, fbi, homicide, blackmail, suspect, love, murder, los angeles, teenager, neo-noir","al pacino, robin williams, hilary swank, maura tierney, martin donovan, nicky katt, paul dooley, crystal lowe, jay brazeau, larry holden, kerry sandomirsky, lorne cardinal, katharine isabelle, jonathan jackson, paula shaw, oliver 'ole' zemen, james hutson, andrew campbell, tasha simms, malcolm boddington, chris gauthier, ian tracey, kate robbins, emily perkins, dean wray",christopher nolan,41.322708
Star Trek: First Contact,"science fiction, action, adventure, thriller","federation, starfleet, borg, enterprise-e, cyborg, montana, resistance, inventor, repayment, obsession, business start-up, space opera","patrick stewart, jonathan frakes, brent spiner, levar burton, michael dorn, gates mcfadden, marina sirtis, james cromwell, alfre woodard, alice krige, neal mcdonough, dwight schultz, cameron oppenheimer, robert picardo",jonathan frakes,25.6713
Jonah Hex,"action, western, drama, fantasy, thriller","gunslinger, usa, dc comics, hell, facial scar, death, confederate, tomahawk","josh brolin, john malkovich, megan fox, michael fassbender, will arnett, michael shannon, aidan quinn, lance reddick, david jensen, john gallagher jr., tom wopat, wes bentley, julia jones, jeffrey dean morgan, brent hinds, natacha itzel, lisa rotondi, michael arnona, veronica russell, sean boyd, danny cosmo, sean m. sellers, alexander asefa, billy blair, maureen brennan, joseph billingiere",jimmy hayward,22.581313
Courage Under Fire,"drama, thriller, mystery, war","gulf war, pilot, u.s. army, praise, rescue mission, dead soldier, tank, medal","denzel washington, meg ryan, lou diamond phillips, matt damon, michael moriarty, michole briana white, bronson pinchot, amy hathaway, diane baker, seth gilliam, regina taylor, zeljko ivanek, scott glenn, tim guinee, tim ransom, sean astin, ned vaughn, manny pérez, david mcswain, korey coleman",edward zwick,12.971122
Liar Liar,comedy,"california, workaholic, birthday, lie, pregnancy birth, wish, 1990s","jim carrey, maura tierney, cary elwes, jennifer tilly, swoosie kurtz, sara paxton, anne haney, amanda donohoe, jason bernard, mitchell ryan, krista allen, justin cooper, christopher mayer",tom shadyac,26.721386
The Infiltrator,"crime, drama, thriller","undercover, biography, drug, drug lord","bryan cranston, diane kruger, john leguizamo, daniel mays, benjamin bratt, amy ryan, elena anaya, joseph gilgun, gino picciano, art malik, juan cely, jason isaacs, tom vaughan-lawlor, olympia dukakis, saïd taghmaoui, tim dutton, michael paré, rubén ochandiano, carsten hayes, andy beckwith, dinita gohil",brad furman,24.672234
The Flintstones,"fantasy, comedy, family","manager, jealousy, bad mother-in-law, adoption, family's daily life, stone age, plan, friendship, best friend, dinosaur","john goodman, elizabeth perkins, rick moranis, rosie o'donnell, kyle maclachlan, halle berry, elizabeth taylor, dann florek, richard moll, irwin keyes, jonathan winters, harvey korman, corey burton, roger l. jackson, jean vander pyl",brian levant,28.964162
Taken 2,"action, crime, thriller","kidnapping, turkey, police chase, bag head, violence, fbi agent, teenage daughter, stealing car, ex-husband ex-wife relationship, albanian, u.s. embassy, killed elevator, security guard killed","liam neeson, maggie grace, famke janssen, rade serbedzija, luke grimes, jon gries, leland orser, d. b. sweeney, kevork malikyan, alain figlarz, frank alvarez, aclan büyüktürkoğlu, olivier rabourdin, ergun kuyucu, naci adigüzel, cengiz bozkurt, hakan karahan, luenell, nathan rippy, mylène pilutik, saruhan sari, mehmet polat, cengiz daner, melis erman, erkan üçüncü, michaël vander-meiren, rochelle gregorie, emre melemez, i̇lkay akdağlı, ahmet orhan ozcam, tamer avkapan",olivier megaton,49.353524
Scary Movie 3,comedy,horror spoof,"pamela anderson, jenny mccarthy, marny eng, charlie sheen, simon rex, jianna ballard, jeremy piven, anna faris, regina hall, denise richards, queen latifah, leslie nielsen, kevin hart, anthony anderson, camryn manheim, george carlin, simon cowell",david zucker,36.585509
Miss Congeniality,"comedy, crime, action","undercover agent, beauty contest, terrorism","sandra bullock, benjamin bratt, michael caine, candice bergen, william shatner, ernie hudson, john diresta, heather burns, melissa de sousa, steve monroe, deirdre quinn, wendy raquel robinson, asia de marcos, ken thomas, gabriel folse, leeanne locken, john cann",donald petrie,32.624355
Journey to the Center of the Earth,"action, science fiction, adventure, comedy, family","volcano, prehistoric, dinosaur, prehistoric creature, 3d","brendan fraser, josh hutcherson, anita briem, seth meyers, jean michel paré, jane wheeler, frank fontaine, giancarlo caltabiano, kaniehtiio horn, garth gilker",eric brevig,53.090422
The Princess Diaries 2: Royal Engagement,"comedy, drama, family, romance","coronation, duty, marriage, falling love","anne hathaway, julie andrews, héctor elizondo, john rhys-davies, heather matarazzo, chris pine, callum blue, larry miller, raven-symoné, kathleen marshall, caroline goodall, lorraine nicholson, shannon wilcox, greg lewis, abigail breslin, paul vogt, joseph leo bwarie, hope alexander-willis, rowan joseph, jeffrey scott jensen",garry marshall,30.002907
The Pelican Brief,"drama, mystery, thriller, crime","judge, professor, mission murder, supreme court","julia roberts, denzel washington, sam shepard, william atherton, john lithgow, tom quinn, john heard, hume cronyn, tony goldwyn, robert culp, stanley tucci, cynthia nixon",alan j. pakula,17.923254
The Client,"drama, thriller, crime, mystery","suicide, brother brother relationship, witness protection, principal witness , brother, investigation, search witnesses, lawyer, gangster","susan sarandon, tommy lee jones, mary-louise parker, anthony lapaglia, bradley whitford, will patton, brad renfro, anthony edwards, j. t. walsh, anthony heald, kim coates, kimberly scott, david speck, william h. macy, rebecca jernigan",joel schumacher,17.746719
The Bucket List,"drama, comedy","africa, himalaya, brain tumor, wife husband relationship, sense life, male friendship, safari, dying death, wish, journey round world, terminal illness, billionaire, father daughter relationship, estranged father, elderly, bucket list, taj mahal","jack nicholson, morgan freeman, sean hayes, beverly todd, alfonso freeman, rowena king, rob morrow, annton berry jr., verda bridges, destiny brownridge, brian copeland, ian anthony dale, jennifer defrancisco, angela gardner, noel gugliemi, jonathan hernandez, karen maruyama, amber mead, serena reeder, christopher stapleton, taylor ann thompson, dawn lewis",rob reiner,31.305336
Patriot Games,"drama, action, thriller, crime","assassination, assassin, repayment, ira, jack ryan","harrison ford, anne archer, patrick bergin, thora birch, james fox, samuel l. jackson, polly walker, j.e. freeman, james earl jones, sean bean, richard harris, alex norton, hugh fraser, david threlfall, alun armstrong, berlinda tolbert, gerald sim, pip torrens, thomas russell, andrew connolly, keith campbell, jonathan ryan, p.h. moriarty, bob gunton, ted raimi, brenda james",phillip noyce,19.637704
Monster-in-Law,"romance, comedy","bad mother-in-law, surgeon, dogsitter, falling love","jennifer lopez, jane fonda, michael vartan, wanda sykes, adam scott, monet mazur, annie parisse, will arnett, elaine stritch, stephen dunham, harriet sansom harris, christina masterson, randee heller, mark moses, stephanie turner, jenny wade, amber mead, gian franco tordi",robert luketic,10.411996
Prisoners,"drama, thriller, crime","pennsylvania, kidnapping, maze, vigilante, rural setting, candlelight vigil","hugh jackman, jake gyllenhaal, paul dano, maria bello, melissa leo, viola davis, terrence howard, dylan minnette, zoë borde, wayne duvall, david dastmalchian, len cariou, sandra ellis lafferty, erin gerasimovich, kyla drew simmons, brad james, anthony reynolds, robert c. treveiler, victoria staley, todd truley, brian daye, alisa harris, robert mello, jeff pope, rodrick goins, mark drum, lana yoo, pam smith, gloria webber, michelle keller, john atwood, stacy melich, j. omar castro, jane mcneill",denis villeneuve,88.496873
Training Day,"action, crime, drama, thriller","police brutality, war drugs, drug traffic, drug dealer, los angeles, gang member, mexican american, barrio, cholo","denzel washington, ethan hawke, scott glenn, tom berenger, harris yulin, cliff curtis, snoop dogg, dr. dre, eva mendes, nick chinlund, jaime osorio gómez, charlotte ayanna, kyjel n. jolly, raymond cruz",antoine fuqua,52.081131
Galaxy Quest,"comedy, family, science fiction","space battle, spaceship, spoof, fictional tv","tim allen, sigourney weaver, alan rickman, tony shalhoub, sam rockwell, daryl mitchell, enrico colantoni, robin sachs, jed rees, justin long, missi pyle, patrick breen, jeremy howard, sam lloyd, rainn wilson, j.p. manoux, dian bachar, heidi swedberg, kevin mcdonald, kaitlin cullum, jonathan feyer",dean parisot,30.816341
Scary Movie 2,comedy,"sex, exorcism, secret door","anna faris, marlon wayans, james debello, shawn wayans, david cross, christopher masterson, regina hall, tim curry, kathleen robertson, chris elliott, james woods, andy richter, tori spelling, vitamin c, veronica cartwright",keenen ivory wayans,35.376971
The Muppets,"comedy, family, music","musical, muppets, robot, oil tycoon, studio tour, duringcreditsstinger","amy adams, jason segel, emily blunt, john krasinski, zach galifianakis, jack black, jim parsons, mickey rooney, neil patrick harris, chris cooper, ken jeong, alan arkin, matt vogel, david rudman, rashida jones, selena gomez, steve whitmire, dave grohl, eric jacobson, dave goelz, justin tinucci, sarah silverman, eddie pepitone, bill barretta, peter linz, bill cobbs, kristen schaal, eddie 'piolin' sotelo, raymond ma, shu lan tuan, donald glover, dahlia waingort, jonathan palmer, don yanan, michael albala, julia marie franzese, gunnar smith, connor gallagher, justin marco, cameron kasal, aria noelle curzon, james carville, leslie feist, whoopi goldberg, judd hirsch, rico rodriguez, david bobin",james bobin,17.047276
Blade,"horror, action","suicide, hero, vampire, bite, fistfight, supernatural, vampire hunter, superhero, rivalry, tragic hero, good vs evil, man army, extreme violence, martial arts master, scientist, violence, disarming someone, blade, machine gun, english subtitles original, hypodermic needle, microscope, secret headquarters, bullet dodging, bullet time, kicked groin, x rayed skeleton, mouth guard, escapade, imaginary, deadly, master warrior, supernatural ability, fang vamp","wesley snipes, stephen dorff, kris kristofferson, n'bushe wright, donal logue, udo kier, arly jover, traci lords, kevin patrick walls, tim guinee, sanaa lathan, eric edwards, donna wong, carmen thomas, shannon lee, kenny johnson, clint curtis, judson scott, sidney s. liufau, keith leon williams, andray johnson, stephen r. peluso, marcus aurelius, john enos iii, eboni 'chrystal' adams, lyle conway, freeman white, d.v. devincentis, marcus salgado, esau mcknight jr., erl van douglas, matt schulze, lennox brown, yvette ocampo, irena stepic, jenya lano, levan uchaneishvili, richard 'dr.' baily, nikki disanto, ryan glorioso, jeff imada, elliott james, stephen norrington, gerald okamura, frankie ray, carrie seeley, beth theriac, ted king",stephen norrington,43.815492
Coach Carter,drama,"black people, autoritian education, sport, high school, scholarship, basketball, violence schools, teacher, teachers students","samuel l. jackson, rob brown, robert ri'chard, rick gonzalez, channing tatum, texas battle, lacey beeman, octavia spencer, allison kyler, cindy chiu",thomas carter,23.234651
Changing Lanes,"action, adventure, crime, thriller","new york, custody battle, suspense, lawyer","ben affleck, samuel l. jackson, kim staunton, toni collette, sydney pollack, matt malloy, william hurt, john benjamin hickey, amanda peet, michael pitt, myra lucretia taylor",roger michell,17.270539
Anaconda,"adventure, horror, thriller","amazon, jungle, anaconda, film crew, killer snake, river boat, amazon river, animal horror","jennifer lopez, ice cube, jon voight, eric stoltz, owen wilson, jonathan hyde, kari wuhrer, vincent castellanos, danny trejo, frank welker",luis llosa,27.684779
Coyote Ugly,comedy,"bar, musical, beautiful woman","piper perabo, adam garcia, john goodman, izabella miko, tyra banks, maria bello, bridget moynahan, greg collins, chip chinery, michael bay, stephanie hodge, carla alapont, sarah jane morris, kaitlin olson, melanie lynskey, susan yeagley, jj snyder, whitney dylan, melody perkins, johnny knoxville",david mcnally,26.79781
Love Actually,"comedy, romance, drama","london england, male nudity, female nudity, love sight, usa president, marseille, office, christmas party, marriage proposal, bars restaurants, press conference, language barrier, prime minister, rock star, tv show, metal detector, war terror, school performance, multiple storylines","keira knightley, heike makatsch, emma thompson, laura linney, hugh grant, january jones, bill nighy, gregor fisher, colin firth, sienna guillory, liam neeson, kris marshall, martin freeman, joanna page, chiwetel ejiofor, andrew lincoln, nina sosanya, billy bob thornton, alan rickman, martine mccutcheon, thomas brodie-sangster, rodrigo santoro, rowan atkinson, claudia schiffer, ivana miličević, elisha cuthbert, shannon elizabeth, denise richards, sheila allen, lúcia moniz, julia davis, edward hardwicke, caroline john, declan donnelly, adam godley, frances de la tour, richard curtis, olivia olson, laura rees",richard curtis,37.073127
A Bug's Life,"adventure, animation, comedy, family","winter, fight, ant, invention, collector, ant-hill, kids family, grass, duringcreditsstinger","kevin spacey, julia louis-dreyfus, hayden panettiere, phyllis diller, bonnie hunt, joe ranft, jonathan harris, madeline kahn, richard kind, denis leary, dave foley, david hyde pierce, michael mcshane, john ratzenberger, brad garrett, roddy mcdowall","andrew stanton, john lasseter",87.350802
From Hell,"horror, mystery, thriller","loss family, drug addiction, jack ripper","johnny depp, heather graham, ian holm, robbie coltrane, ian richardson, jason flemyng, katrin cartlidge, terence harvey, susan lynch, paul rhys, lesley sharp, estelle skornik, nicholas mcgaughey, annabelle apsion, joanna page, samantha spiro, sophia myles, ralph ineson, john owens, mark dexter, danny midwinter, david schofield, peter eyre, rupert farley, ian mcneice, cliff parisi","albert hughes, allen hughes",26.134678
The Specialist,"action, thriller","explosive, revenge, explosives expert","sylvester stallone, sharon stone, james woods, rod steiger, eric roberts, mario ernesto sánchez, sergio doré jr., chase randolph, jeana bell, brittany paige bouck, emilio estefan, lagaylia frazier",luis llosa,16.582709
Tin Cup,"comedy, drama, romance","lover (female), golf, man-woman relation, sport, woman men","kevin costner, don johnson, cheech marin, george perez, rene russo, linda hart, dennis burkley, rex linn, lou myers, richard lineback, mickey jones, michael milhoan",ron shelton,10.731574
"Yours, Mine and Ours","comedy, drama, family","nurse, widow, children, parent, sibling","lucille ball, henry fonda, van johnson, tom bosley, louise troy, sidney miller, morgan brittany, tracy nelson, tim matheson",melville shavelson,2.094151
Kicking & Screaming,"romance, comedy, family","father son relationship, generations confilct, sport, amateur soccer, soccer coach","will ferrell, robert duvall, kate walsh, musetta vander, josh hutcherson, steven anthony lawrence, mike ditka, dylan mclaughlin, jeremy bergman, elliott cho, erik walker, alessandro ruggiero, dallas mckinney, francesco liotti, sammy fine, david herman, rachael harris, jim turner, laura kightlinger, timmy deters",jesse dylan,8.99269
The Hitchhiker's Guide to the Galaxy,"adventure, comedy, family, science fiction","bureaucracy, england, dolphin, android, based novel, chase, space travel, galaxy, spaceship, alien, stop motion, survival, hitchhiker, robot, alien invasion, everyman, hyperspace, meaning life, based radio show, alien attack, bathrobe, destruction earth, intergalactic travel, islington england, talking robot","martin freeman, zooey deschanel, sam rockwell, yasiin bey, john malkovich, helen mirren, stephen fry, anna chancellor, bill bailey, dominique jackson, thomas lennon, bill nighy, alan rickman, steve pemberton, albie woodington, warwick davis, richard griffiths, ian mcneice, mark gatiss, reece shearsmith",garth jennings,51.742065
Resident Evil: Extinction,"horror, action, science fiction","clone, mutant, post-apocalyptic, dystopia, conspiracy, evil corporation, zombie, based video game","milla jovovich, oded fehr, ali larter, iain glen, mike epps, ashanti, spencer locke, matthew marsden, linden ashby, jason o'mara, joe hursley, james tumminia, madeline carroll, christopher egan",russell mulcahy,12.06538
Blended,comedy,"africa, blind date, relationship, family vacation, family","drew barrymore, adam sandler, wendi mclendon-covey, bella thorne, terry crews, joel mchale, lauren lapkus, kevin nealon, alyvia alyn lind, emma fuhrmann, anna colwell, abdoulaye n'gom, kyle red silverstein, braxton beckham, zak henri, jessica lowe, shaquille o'neal, dan patrick, alexis arquette, mary pat gleason, allen covert, jared sandler, sadie sandler, jackie sandler, jackie goldston, sunny sandler, judith sandler, susan yeagley, tim herlihy, josette eales, hannah covert",frank coraci,44.120328
The River Wild,"action, adventure, crime, thriller","river, robber, boston, bank robber, marriage crisis, hostage-taking, rafting, criminal, white water rafting","meryl streep, david strathairn, kevin bacon, benjamin bratt, john c. reilly, joseph mazzello, stephanie sawyer, william lucking, elizabeth hoffman, victor galloway",curtis hanson,12.362876
The Indian in the Cupboard,"adventure, family, fantasy","cupboard, games, puppet, parallel world, toy comes life","hal scardino, litefoot, lindsay crouse, richard jenkins, rishi bhat, steve coogan, david keith, sakina jaffrey, vincent kartheiser, nestor serrano",frank oz,11.095914
Savages,"crime, drama, thriller","widow, american abroad, eye gouging, dea agent, shot shoulder, gun mouth, filmed killing, southern california, improvised explosive device, surrogate daughter, shot throat, laguna beach california, enforcer, gardner, skull mask, dea","blake lively, taylor kitsch, aaron taylor-johnson, benicio del toro, salma hayek, john travolta, demián bichir, emile hirsch, mía maestro, diego cataño, joaquín cosio, sandra echeverría, antonio jaramillo, ali wong, trevor donovan",oliver stone,31.856589
Cellular,"action, adventure, crime, thriller","bank, mobile phone, telephone, weapon, police, duringcreditsstinger","chris evans, kim basinger, jason statham, jessica biel, william h. macy, will beinbrink, valerie cruz, brenda ballard, caroline aaron, chase bloch, chelsea bloch, chantille boudousque, robin brenner, richard burgi, paige cannon, nikki christian, john churchill, greg collins, esther mercado",david r. ellis,24.459948
Johnny English,"adventure, action, comedy","spy, hero, queen, intelligence, coronation, funeral, secret agent, queen elisabeth ii, weapon, spoof, explosion, agent, pen, duringcreditsstinger","rowan atkinson, john malkovich, natalie imbruglia, tasha de vasconcelos, ben miller, greg wise, douglas mcferran, steve nicolson, terence harvey, kevin mcnally, tim pigott-smith, nina young, rowland davies, philippa fordham, tim berrington, simon bernstein, kevin moore",peter howitt,28.029015
The Ant Bully,"fantasy, adventure, animation, comedy, family","ant, child hero, shrinking, ant-hill, children","julia roberts, meryl streep, nicolas cage, paul giamatti, bruce campbell, regina king, lily tomlin, larry miller, cheri oteri, zach tyler, ricardo montalban, myles jeffrey, creagen dow, frank welker, mark decarlo, jake t. austin, allison mack, s. scott bullock, paul greenberg, rob paulsen",john a. davis,20.239061
Dune,"action, science fiction, adventure","prophecy, witch, monster, telepathy, atomic bomb, space marine, emperor, mutation, insurgence, space travel, guild, duke, water, chosen one, dystopia, jihad, spice, war, messiah, denunciation","kyle maclachlan, francesca annis, leonardo cimino, brad dourif, josé ferrer, linda hunt, freddie jones, richard jordan, virginia madsen, silvana mangano, everett mcgill, kenneth mcmillan, jack nance, siân phillips, jürgen prochnow, patrick stewart, sting, dean stockwell, max von sydow, sean young, alicia witt",david lynch,25.876582
Across the Universe,"adventure, drama, music, romance","riot, protest, musical, music, cultural difference, university, fantasy sequence, anti war, police arrest, march, woman director, 1960s","evan rachel wood, jim sturgess, joe anderson, dana fuchs, martin luther, t.v. carpio, spencer liff, lisa hogg, nicholas lumley, michael ryan, angela mounsey, robert clohessy, erin elliott, christopher tierney, curtis holbrook, bono, salma hayek, mandy gonzalez, destan owens, cicily daniels, saycon sengbloh, sam kitchin, chris mcgarry, frank hopf, logan marshall-green, ted lochwyn, william atkinson",julie taymor,11.872841
Revolutionary Road,"drama, romance","adultery, jealousy, infidelity, career, marriage crisis, connecticut","leonardo dicaprio, kate winslet, michael shannon, kathryn hahn, david harbour, kathy bates, ty simpkins, ryan simpkins, richard easton, dylan baker, zoe kazan, max casella, jay o. sanders, kristen connolly, john behlmann, max baker, keith reddin, dylan clark marshall, marin ireland",sam mendes,20.360549
16 Blocks,"action, adventure, crime, thriller","mission murder, male bonding, doing right thing, people change","bruce willis, yasiin bey, david morse, jenna stern, david zayas, casey sander, cylk cozart, robert racki, patrick garrow, sasha roiz, conrad pla, hechter ubarry, richard fitzpatrick, peter mcrobbie, michael f. keenan, robert clohessy, tig fong, david sparrow, beatriz yuste, danny lima, angela seto",richard donner,32.31022
Babylon A.D.,"action, adventure, science fiction, thriller","submarine, baby, secret, future, mercenary, prosecution, protection, dystopia, moral conflict, smuggling, vision, pregnant, cyberpunk, sect","vin diesel, michelle yeoh, mélanie thierry, lambert wilson, charlotte rampling, gérard depardieu, mark strong, jérôme le banner, joel kirby, souleymane dicko, radek bruna, david belle, jan unger, abraham belaga, david gasman, gary cowan, lemmy constantine, pete thias, curtis matthew",mathieu kassovitz,27.568194
The Glimmer Man,"action, adventure, crime, drama, thriller","secret agent, past, cop, series murders, homicide detective","steven seagal, keenen ivory wayans, bob gunton, brian cox, michelle johnson, johnny strong, john m. jackson, stephen tobolowsky, ryan cutrona, richard gant, alexa penavega, nikki cox",john gray,6.250282
Multiplicity,"comedy, fantasy, science fiction","clone, mistake person, cloning, experiment gone wrong, construction","michael keaton, andie macdowell, harris yulin, eugene levy, zack duhame, katie schlossberg, richard masur, ann cusack, john de lancie, judith kahan, brian doyle-murray, obba babatundé, julie bowen, dawn maxey, kari coleman, steven kampmann, michael milhoan, skip stellrecht, jim piddock, robin duke, suzanne herrington, robert ridgely, glenn shadix, dennis r. lyell, richard plon, harold plon, justine a. johnston, george wallace, michael klesic",harold ramis,11.120344
Aliens in the Attic,"adventure, comedy, family, fantasy, science fiction","alien, comedy, duringcreditsstinger, beforecreditsstinger, live action animation","carter jenkins, austin butler, kevin nealon, robert hoffman, doris roberts, tim meadows, ashley boettcher, henri young, regan young, ashley tisdale, malese jow, gillian vigman, andy richter, maggie vandenberghe, j.k. simmons, josh peck, thomas haden church, kari wahlgren",john schultz,13.707183
The Pledge,"crime, drama, mystery, thriller","promise, murder, drawing, porcupine, pledge, retirement party, criminal profile","jack nicholson, aaron eckhart, helen mirren, robin wright, vanessa redgrave, sam shepard, benicio del toro, mickey rourke, harry dean stanton, patricia clarkson, dale dickey, tom noonan, adrien dorval, michael o'keefe, beau daniels, wendy morrow donaldson",sean penn,12.495436
The Producers,"comedy, music","cheating, adolf hitler, success, music, blonde, funny nazi, producer, broadway musical, aftercreditsstinger, woman director","matthew broderick, uma thurman, will ferrell, eileen essell, gary beach, michael mckean, david huddleston, debra monk, andrea martin, jon lovitz, meg gillentine, bryn dowling, kevin ligon, ray wills, marilyn sokol, brent barrett, tory ross, brad oscar, nathan lane, roger bart, dan bittner",susan stroman,6.803965
